"X","state","county_name","county.FIPS","date","female","below_18","above_65","median_house_income","population","driving_alone_to_work","smoking","flu_vac","some_college","social_association","traffic","black","hispanic","Rural.urban_Continuum_Code_2013","PCTPOVALL_2018","population.density","distance_one_week_before","distance_two_weeks_before","distance_three_weeks_before","cases_1","cases_2","cases_3","cases_4","cases_5","cases_6","cases_7","cases_8","cases_9","cases_10","cases_11","deaths_1","deaths_2","deaths_3","deaths_4","deaths_5","deaths_6","deaths_7","deaths_8","deaths_9","deaths_10","deaths_11","daily_distance_diff","cases","deaths","cumulative_dose","cumulative_dose_2","death_per_100000","case_per_100000","bl_hisp","non_metro"
3,"AL","Barbour County",1005,"7/1/2020",0.472167517,0.208673285,0.194204413,34382,24686,0.833684704,0.219999845,0.37,0.348576486,7.518796993,102.2917622,0.480326353,0.042763555,6,30.9,27.89756803,-0.257874684,-0.288608487,-0.329630289,48.61054849,52.66142753,40.50879041,64.81406465,97.22109698,113.4246131,243.0527424,101.271976,162.0351616,157.9842826,182.2895568,0,0,4.050879041,0,0,0,0,0,0,0,0,0.117796001,326,1,0.032908132,0.032908132,16.20351616,368.6299927,0.523089908,1
6,"AL","Bullock County",1011,"7/1/2020",0.454823437,0.210791083,0.163839022,29267,10101,0.790609137,0.22894664,0.28,0.349760942,7.760209526,4.0665382,0.695403433,0.079601499,6,42.5,16.21842938,-0.274011032,-0.285523367,-0.308709053,49.5000495,9.9000099,39.6000396,99.000099,138.6001386,920.7009207,762.3007623,297.000297,663.3006633,207.9002079,366.3003663,0,0,0,9.9000099,0,19.8000198,29.7000297,29.7000297,0,9.9000099,0,0.279438945,367,10,-0.052870166,-0.052870166,19.8000198,178.2001782,0.775004932,1
7,"AL","Butler County",1013,"7/1/2020",0.534298781,0.22245935,0.202997968,37365,19448,0.838331832,0.21765335,0.35,0.416787565,9.079445145,19.3110679,0.445579268,0.015091463,6,24.5,25.03507846,-0.27684415,-0.299187179,-0.320348292,30.85150144,102.8383381,411.3533525,421.6371863,457.6306047,380.5018511,293.0892637,210.8185932,447.3467709,174.8251748,138.8317565,0,5.141916907,0,25.70958453,20.56766763,10.28383381,30.85150144,30.85150144,5.141916907,5.141916907,5.141916907,0.216355196,607,27,0.104429305,0.104429305,46.27725216,282.8054299,0.460670731,1
9,"AL","Chambers County",1017,"7/1/2020",0.521255392,0.20800238,0.195210472,39917,33254,0.85252848,0.193929271,0.42,0.48460334,17.79728888,20.27158691,0.395656701,0.025613565,6,18.7,55.74572947,-0.263708537,-0.26712698,-0.347918116,135.3220665,96.22902508,39.09304144,51.12166957,30.07157034,24.05725627,99.23618211,75.17892584,240.5725627,159.3793228,171.4079509,15.03578517,15.03578517,9.021471101,0,3.007157034,6.014314067,3.007157034,3.007157034,0,3.007157034,0,0.061127548,595,27,-0.05861056,-0.05861056,33.07872737,351.8373729,0.421270266,1
10,"AL","Cherokee County",1019,"7/1/2020",0.504609711,0.191687154,0.229717271,42132,26196,0.831144659,0.174986738,0.41,0.518362101,8.5083343,25.90888704,0.042409342,0.016210818,6,16.3,47.31081813,-0.228880688,-0.240577324,-0.35370798,11.4521301,7.634753397,7.634753397,30.53901359,15.26950679,19.08688349,22.90426019,15.26950679,38.17376699,19.08688349,57.26065048,0,0,0,0,0,7.634753397,3.817376699,3.817376699,3.817376699,3.817376699,3.817376699,0.068347855,77,7,0.014642752,0.014642752,3.817376699,240.494732,0.05862016,1
1133,"LA","Winn Parish",22127,"7/1/2020",0.464058299,0.209990095,0.185793123,40133,13904,0.869186622,0.229273381,0.42,0.368421053,10.48144784,44.07029775,0.30614122,0.021862176,6,22.8,14.63440306,-0.26004056,-0.245525194,-0.344384226,50.3452244,21.57652474,158.2278481,57.53739931,266.1104718,266.1104718,338.0322209,100.6904488,194.1887227,86.30609896,115.0747986,0,0,0,0,0,0,0,0,7.192174914,14.38434983,0,0.060147773,244,5,-0.033918965,-0.033918965,14.38434983,359.6087457,0.328003396,1
2400,"TN","Perry County",47135,"7/1/2020",0.495411706,0.221230159,0.211433532,41960,8076,0.771300448,0.243081118,0.47,0.414715719,5.015673981,23.60528231,0.024305556,0.027901786,8,17.6,19.47291009,-0.265956312,-0.195323077,-0.291528226,24.76473502,24.76473502,49.52947003,12.38236751,0,0,99.05894007,37.14710253,37.14710253,12.38236751,24.76473502,0,0,0,0,0,0,0,0,0,0,0,-0.062343818,32,0,-0.013291921,-0.013291921,0,160.9707776,0.052207342,1
15,"AL","Cleburne County",1029,"7/1/2020",0.504837526,0.227663975,0.194501902,46495,14910,0.81363212,0.183744658,0.34,0.450141643,8.053691275,41.33377646,0.028691533,0.024821512,8,16,26.62024638,-0.161007923,-0.243259382,-0.258710022,0,0,0,6.706908115,0,0,13.41381623,26.82763246,20.12072435,0,53.65526492,6.706908115,0,0,0,0,0,0,0,0,0,0,0.130933703,29,1,0.001900373,0.001900373,0,120.7243461,0.053513045,1
20,"AL","Covington County",1039,"7/1/2020",0.516141243,0.218704375,0.210620235,40203,37049,0.875246448,0.192494515,0.39,0.536105815,12.67119595,42.46334895,0.124425458,0.017493106,6,19.9,35.95384586,-0.252597658,-0.224326108,-0.324941168,29.69041,26.99128182,29.69041,26.99128182,8.097384545,24.29215363,51.28343545,18.89389727,224.0276391,143.0537936,215.9302545,0,2.699128182,0,0,0,0,0,0,0,2.699128182,8.097384545,0.076713193,317,8,0.022740031,0.022740031,43.18605091,421.0639963,0.141918564,1
21,"AL","Crenshaw County",1041,"7/1/2020",0.517216435,0.228587963,0.190176505,39057,13772,0.817299047,0.186469296,0.36,0.449078271,10.09299978,57.6469532,0.232204861,0.023148148,8,19.5,22.62006438,-0.281694397,-0.226464182,-0.36595044,21.78332849,43.56665699,94.39442347,130.699971,72.61109498,50.82776648,130.699971,94.39442347,174.2666279,29.04443799,50.82776648,0,0,0,7.261109498,0,7.261109498,7.261109498,0,0,0,0,0.121453328,127,3,0.052162843,0.052162843,7.261109498,87.13331397,0.255353009,1
