"X","state","county_name","county.FIPS","date","female","below_18","above_65","median_house_income","population","driving_alone_to_work","smoking","flu_vac","some_college","social_association","traffic","black","hispanic","Rural.urban_Continuum_Code_2013","PCTPOVALL_2018","population.density","distance_one_week_before","distance_two_weeks_before","distance_three_weeks_before","cases_1","cases_2","cases_3","cases_4","cases_5","cases_6","cases_7","cases_8","cases_9","cases_10","cases_11","deaths_1","deaths_2","deaths_3","deaths_4","deaths_5","deaths_6","deaths_7","deaths_8","deaths_9","deaths_10","deaths_11","daily_distance_diff","cases","deaths","cumulative_dose","cumulative_dose_2","death_per_100000","case_per_100000","bl_hisp","non_metro"
1611,"NE","Colfax County",31037,"7/1/2020",0.467328371,0.296847716,0.13463836,55787,10709,0.705938514,0.148788077,0.41,0.340643792,16.06046292,31.04180234,0.037864167,0.47036118,7,10.4,26.01418646,-0.156379548,-0.067365958,-0.219069729,9.33794005,158.7449809,2045.008871,1662.153329,1017.835465,691.0075637,158.7449809,158.7449809,102.7173406,130.7311607,56.0276403,0,0,0,9.33794005,0,18.6758801,9.33794005,0,0,0,0,0.090992577,670,4,-0.059200518,-0.059200518,0,112.0552806,0.508225347,1
2234,"SC","Allendale County",45005,"7/1/2020",0.473098955,0.188700438,0.201055824,29124,8688,0.82122093,0.22220363,0.24,0.353571429,5.554321262,21.99227686,0.72469954,0.035942941,6,37.3,21.28942145,-0.338866638,-0.405073156,-0.294804754,11.51012891,23.02025783,69.06077348,138.121547,80.57090239,11.51012891,46.04051565,11.51012891,11.51012891,69.06077348,23.02025783,0,11.51012891,0,23.02025783,0,0,0,0,0,0,0,0.000514653,50,3,-0.136140632,-0.136140632,0,460.4051565,0.760642481,1
476,"GA","Screven County",13251,"7/1/2020",0.504807002,0.210575405,0.188118812,39048,13966,0.843576453,0.198960809,0.29,0.488689185,12.18375977,22.68639747,0.409025685,0.023245803,6,25.9,21.64935669,-0.207382702,-0.255231656,-0.311722141,28.64098525,21.48073894,7.160246312,14.32049262,21.48073894,57.2819705,193.3266504,21.48073894,35.80123156,114.563941,85.92295575,7.160246312,0,0,0,0,7.160246312,7.160246312,0,7.160246312,0,14.32049262,0.016667497,93,6,-0.009344187,-0.009344187,21.48073894,171.8459115,0.432271488,1
1378,"MS","Grenada County",28043,"7/1/2020",0.524341012,0.239373071,0.177819995,39633,20758,0.856790428,0.198086791,0.39,0.547572435,14.22677479,131.7082912,0.42426977,0.01448587,7,22.3,49.17675487,-0.285301222,-0.240738066,-0.374091407,72.26129685,4.81741979,38.53935832,81.89613643,38.53935832,72.26129685,96.3483958,154.1574333,178.2445322,149.3400135,770.7871664,0,0,9.63483958,0,0,0,4.81741979,4.81741979,0,4.81741979,0,0.005071487,380,5,-0.086538295,-0.086538295,72.26129685,1300.703343,0.43875564,1
2368,"TN","Hardin County",47071,"7/1/2020",0.512259466,0.205578833,0.231028864,37690,25652,0.831331539,0.230526857,0.45,0.50814974,11.99411901,43.39810216,0.032510863,0.027855369,6,20.3,44.43289683,-0.260799053,-0.250304061,-0.331392844,7.796663028,3.898331514,7.796663028,3.898331514,7.796663028,3.898331514,15.59332606,54.5766412,31.18665211,124.7466085,77.96663028,0,0,0,0,0,7.796663028,0,0,7.796663028,3.898331514,0,0.011367517,100,5,-0.025426581,-0.025426581,7.796663028,198.8149072,0.060366232,1
13,"AL","Clarke County",1025,"7/1/2020",0.526421405,0.217182274,0.198704013,40741,23622,0.882852969,0.205796553,0.28,0.382299601,16.19399577,66.28763227,0.443269231,0.013628763,7,22.8,19.07353428,-0.287640651,-0.278633077,-0.340303469,21.166709,12.7000254,67.7334688,84.666836,50.8001016,143.9336212,160.8669884,50.8001016,139.7002794,110.0668868,186.2670392,4.2333418,0,0,0,4.2333418,0,0,4.2333418,0,8.4666836,0,-0.010562161,267,5,-0.076935228,-0.076935228,16.9333672,262.4671916,0.456897994,1
14,"AL","Clay County",1027,"7/1/2020",0.510960452,0.202485876,0.207231638,39201,13235,0.899023402,0.196203542,0.43,0.353230337,10.47355428,37.23049033,0.138305085,0.030131827,9,17.6,21.91370289,-0.233839431,-0.257597072,-0.324664869,37.7786173,0,22.66717038,37.7786173,0,0,7.555723461,7.555723461,7.555723461,22.66717038,113.3358519,0,7.555723461,0,0,7.555723461,0,0,0,0,0,0,0.059879436,58,2,-0.041743092,-0.041743092,22.66717038,309.7846619,0.168436912,1
153,"AR","Van Buren County",5141,"7/1/2020",0.502800699,0.200445703,0.260495091,40486,16545,0.822508499,0.189956321,0.36,0.388939811,12.72264631,28.11228434,0.006023008,0.03065711,8,16.4,23.36402406,-0.244123612,-0.227214096,-0.288480537,0,6.044122091,6.044122091,0,0,0,0,12.08824418,0,0,24.17648837,0,0,0,0,0,0,0,0,0,0,0,0.10832852,33,2,-0.0239584,-0.0239584,0,12.08824418,0.036680118,1
681,"IN","Grant County",18053,"7/1/2020",0.521384373,0.20636678,0.192216695,45138,65769,0.792727912,0.215446965,0.48,0.535255736,16.54359237,132.7935486,0.070052779,0.043997209,4,19.9,158.8354626,-0.314104768,-0.266294439,-0.323812983,62.33940002,71.46223905,48.65514148,21.2866244,38.01182928,50.17561465,62.33940002,48.65514148,39.53230245,38.01182928,30.40946343,1.520473171,7.602365856,7.602365856,6.081892685,3.040946343,3.040946343,4.561419514,1.520473171,1.520473171,3.040946343,0,0.143488057,385,29,-0.042962907,-0.042962907,4.561419514,114.0354878,0.114049988,1
1420,"MS","Smith County",28129,"7/1/2020",0.519497563,0.230783652,0.196100487,46764,15916,0.865993789,0.182393117,0.46,0.497185741,9.951486503,6.545044909,0.236345457,0.016935383,8,16.8,25.01532417,-0.247963186,-0.226895786,-0.367623994,119.3767278,113.0937421,100.5277708,144.5086705,69.11284242,100.5277708,131.9426992,100.5277708,75.3958281,43.98089972,106.8107565,6.282985675,12.56597135,0,12.56597135,6.282985675,18.84895702,6.282985675,0,0,0,0,-0.02062788,206,11,-0.061811223,-0.061811223,12.56597135,326.7152551,0.25328084,1
