"","results.Control.unstrat","results.Treatment.unstrat","results.std.diff.unstrat","results.p.unstrat"
"female",0.498881105445087,0.499998758862923,0.0579493612485376,0.15396925918286
"below_18",0.218908845060281,0.221214364473989,0.0705303545565237,0.0827738775667742
"above_65",0.195724826980182,0.195411140897605,-0.00702546808828031,0.862722403257888
"black",0.0659269907431874,0.0657268209042115,-0.00178093155695046,0.965038113715652
"hispanic",0.0853927186094137,0.0852039525466557,-0.00155338557984088,0.969502784007096
"bl_hisp",0.151319709352601,0.150930773450867,-0.00242914336468534,0.952326063501403
"driving_alone_to_work",0.800112556888522,0.80732295880925,0.13467351852203,0.000942711216261125
"smoking",0.171839020609414,0.174868039156069,0.087926023703535,0.0306224365876539
"flu_vac",0.421246903385632,0.419033856317093,-0.0228041011199452,0.574649021939906
"some_college",0.590426209440958,0.582447375998349,-0.073081835007773,0.0722580239681706
"social_association",12.3588888830884,11.9391620407118,-0.0735830680447982,0.0703267333749158
"traffic",123.882788186673,103.809850425105,-0.0946924294378903,0.0199142554024959
"non_metro",0.61849710982659,0.61849710982659,0,1
"PCTPOVALL_2018",14.2274153592073,14.5796036333609,0.0653115769396935,0.108144124698505
"population.density",166.925815558783,135.925434981951,-0.0616045418170218,0.129648056249448
"population",89713.9942196532,82019.9388934765,-0.0371946490912144,0.360046727663101
"cases_1",20.2087999658604,17.992034199725,-0.0541787384269275,0.182545803825116
"cases_2",31.1785309798282,22.0876605223931,-0.0800953242860123,0.048869854555484
"cases_3",29.5433940692816,24.4259484104352,-0.0752010264748074,0.0643800084303251
"cases_4",29.6617844828778,24.759636054683,-0.0667122071224378,0.100795968843102
"cases_5",25.2882677882254,26.4056135026326,0.0156035031162142,0.700962427019751
"cases_6",29.0624244377845,28.7696290873303,-0.00455958548527755,0.910648817141186
"cases_7",29.6210583549405,26.9486080573204,-0.03311537024179,0.415116116490932
"cases_8",29.3486888021272,29.1797304700876,-0.00217447828918417,0.95731901949569
"cases_9",28.3589740262064,31.3521624666407,0.0448727158960659,0.269537236104591
"cases_10",34.9328908157688,40.0600421508521,0.0697897904087244,0.0860485940619526
"cases_11",46.436744286014,51.0058486099777,0.0606652219608649,0.13559298901284
"deaths_1",1.15190108709001,0.986362112252684,-0.0495301242795228,0.222972840461901
"deaths_2",1.23712812041206,1.04078818620479,-0.0543232132957536,0.18138288562197
"deaths_3",1.15869800374484,0.983627640445912,-0.0562747506623868,0.166209882750746
"deaths_4",1.2828627097787,1.06337006310322,-0.0558658400164164,0.169307255632368
"deaths_5",1.02064108688357,0.957842829083403,-0.0203636449059228,0.616255785180832
"deaths_6",0.960782960275805,0.896945305021469,-0.0203550353110074,0.616404887782144
"deaths_7",1.01667227272089,0.877223974352601,-0.0439869905695936,0.2790990118016
"deaths_8",0.817568291472337,0.732812172631709,-0.0302716257723482,0.456296114286243
"deaths_9",0.671486996587118,0.657207221217176,-0.00575910289747086,0.887283472482521
"deaths_10",0.63709087085384,0.619465660618497,-0.00849531217312067,0.834382136165641
"deaths_11",0.842366462758051,0.691037198484723,-0.0444771059049434,0.273779839902622
"cumulative_dose",-0.127984786175888,-0.046263740293146,0.894211632812189,8.99189785291162e-90
"cumulative_dose_2",-0.127984786175888,-0.046263740293146,0.894211632812189,8.99189785291162e-90
