"","results.Control.unstrat","results.Treatment.unstrat","results.std.diff.unstrat","results.p.unstrat"
"female",0.499124099613542,0.499755764694467,0.0327419268203915,0.420395073147673
"below_18",0.219260122835673,0.220863086698596,0.0490220464622492,0.227752835508161
"above_65",0.196261623644096,0.194874344233692,-0.0310737544078879,0.444453384814614
"black",0.066038330450867,0.065615481196532,-0.0037621382889226,0.926226461870168
"hispanic",0.0859867272246078,0.0846099439314616,-0.011329944495538,0.78036144681536
"bl_hisp",0.152025057675475,0.150225425127993,-0.0112399788958469,0.782061222992665
"driving_alone_to_work",0.801701913463253,0.805733602234519,0.075185390805102,0.0644354225540325
"smoking",0.17205532742692,0.174651732338563,0.0753488342457461,0.0638581088489311
"flu_vac",0.421412056151941,0.418868703550784,-0.0262082452551033,0.518939024355429
"some_college",0.588627985330305,0.584245600109001,-0.0401215818693077,0.323508677654311
"social_association",12.3067014321891,11.9913494916111,-0.0552686143847776,0.173908657774729
"traffic",123.377672592144,104.314966019634,-0.0899168504264719,0.027049835962672
"non_metro",0.61849710982659,0.61849710982659,0,1
"PCTPOVALL_2018",14.1951279933939,14.6118909991742,0.0773031581428036,0.0572805297666327
"population.density",168.790242443562,134.061008097172,-0.0690229487293431,0.0895491517823354
"population",90243.5862923204,81490.3468208093,-0.0423171188560253,0.297747754495821
"cases_1",19.7100196932675,18.4908144723179,-0.0297902868221878,0.463487105478021
"cases_2",29.9030527433675,23.3631387588538,-0.0575977647215813,0.156480643776204
"cases_3",28.7269613994269,25.2423810802898,-0.051186599093941,0.207888961209153
"cases_4",28.0468148428101,26.3746056947506,-0.0227455207844953,0.575631981850744
"cases_5",25.3169194151982,26.3769618756598,0.0148032298976183,0.715613836453418
"cases_6",28.838460195801,28.9935933293138,0.00241582203917921,0.952587196295347
"cases_7",28.8325138417052,27.7371525705557,-0.0135714981846108,0.738369051689299
"cases_8",29.2834036852097,29.245015587005,-0.000494051037750218,0.990298297621589
"cases_9",29.8336451802651,29.8774913125821,0.000657158663120078,0.987095590797914
"cases_10",38.5433302798745,36.4496026867465,-0.0284849555802823,0.483302779292301
"cases_11",47.816772394995,49.6258205009966,0.0240098964967796,0.554594933978958
"deaths_1",1.14913117004211,0.989132029300578,-0.0478716101420334,0.238845209537451
"deaths_2",1.26364980450619,1.01426650211065,-0.0690148483226051,0.0895867331812913
"deaths_3",1.11319999203138,1.02912565215937,-0.0270166859001786,0.506131227900729
"deaths_4",1.24963975596449,1.09659301691742,-0.0389460422236099,0.337882323022286
"deaths_5",1.03563017930058,0.942853736666391,-0.0300865425352003,0.459053717315482
"deaths_6",0.911357703955409,0.946370561341866,0.0111636638009769,0.783503909385682
"deaths_7",0.921650286685384,0.972245960388109,0.0159563350965379,0.69453759753227
"deaths_8",0.816712259587118,0.733668204516928,-0.0296600064609088,0.465444252171924
"deaths_9",0.652587121803468,0.676107096000826,0.00948578746963921,0.815403055791418
"deaths_10",0.642263820680429,0.614292710791908,-0.0134821976695474,0.740028042385503
"deaths_11",0.837756649151115,0.695647012091659,-0.0417661489493986,0.304079715345218
"cumulative_dose",-0.124869018606936,-0.0493795078620973,0.814163741367479,6.99630456686898e-77
"cumulative_dose_2",-0.124869018606936,-0.0493795078620973,0.814163741367479,6.99630456686898e-77
