"","results.Control.unstrat","results.Treatment.unstrat","results.std.diff.unstrat","results.p.unstrat"
"female",0.49888955952436,0.49999030478365,0.0570719679200607,0.160294178913147
"below_18",0.218439399254335,0.221683810279934,0.0993134955283153,0.0146347926838714
"above_65",0.196651051947151,0.194484915930636,-0.0485278407073206,0.232472036678305
"black",0.0657998952906689,0.0658539163567302,0.000480630780275457,0.990561819340193
"hispanic",0.0873914490247729,0.0832052221312963,-0.0344542238699908,0.39651526623767
"bl_hisp",0.153191344315442,0.149059138488026,-0.0258102927061414,0.525304626711784
"driving_alone_to_work",0.80051723680512,0.806918278892652,0.119499120629885,0.00332612246755294
"smoking",0.170838016892651,0.175869042872832,0.146289128576521,0.00032958089467979
"flu_vac",0.420553261767135,0.419727497935591,-0.0085085164979943,0.834128457696597
"some_college",0.591617368293972,0.581256217145334,-0.0949461371011161,0.019586156341146
"social_association",12.2896924583856,12.0083584654145,-0.0493027798815121,0.225102735314664
"traffic",126.674079438517,101.018559173261,-0.121113911079238,0.00292607085379767
"non_metro",0.61849710982659,0.61849710982659,0,1
"PCTPOVALL_2018",14.03848059455,14.7685383980182,0.135624445266615,0.000867421407899251
"population.density",172.784144893892,130.067105646842,-0.0849243531431981,0.036773100748098
"population",92310.4739884393,79423.4591246903,-0.0623179609497922,0.12526979367885
"cases_1",21.0166124173229,17.1842217482626,-0.0937338096885287,0.0211977147196129
"cases_2",27.9699593824533,25.296232119768,-0.0235396841226424,0.562374361596898
"cases_3",29.738740644782,24.2306018349347,-0.0809513539228545,0.0465091717067072
"cases_4",29.1668264933468,25.2545940442139,-0.0532299090132546,0.190321030236449
"cases_5",26.2085849123823,25.4852963784756,-0.0101003968988369,0.803679703296147
"cases_6",29.1273073882824,28.7047461368324,-0.00658039675803029,0.87134065872812
"cases_7",30.9528670658307,25.6167993464302,-0.066148399608899,0.103704502475185
"cases_8",29.7454258943254,28.7829933778894,-0.0123866489338966,0.76047714821228
"cases_9",28.4031453789686,31.3079911138785,0.0435476784680821,0.283926256876127
"cases_10",34.0230313109835,40.9699016556374,0.0946076469865791,0.0200249633749089
"cases_11",45.5052933470041,51.9372995489876,0.0854380936436163,0.0356511417917745
"deaths_1",1.29133430844922,0.846928890893477,-0.133222447911459,0.00106935520367311
"deaths_2",1.35368173213377,0.924234574483072,-0.118985519995827,0.00346345134932315
"deaths_3",1.19511784841453,0.947207795776219,-0.0797201508857521,0.0499357803893146
"deaths_4",1.35098684184723,0.995245931034682,-0.090601669651846,0.0259071170111429
"deaths_5",0.999677059844756,0.978806856122213,-0.00676728656889791,0.867719844649242
"deaths_6",0.950076281744839,0.907651983552436,-0.0135268611136932,0.739198150148093
"deaths_7",1.05784717865483,0.836049068418663,-0.0699889942386285,0.085157593462524
"deaths_8",0.854457613509496,0.69592285059455,-0.056638746483381,0.163488791801932
"deaths_9",0.666740783101569,0.661953434702725,-0.00193075379540188,0.962099048057705
"deaths_10",0.618410387628406,0.638146143843931,0.00951261244706531,0.814890498340227
"deaths_11",0.854495999361685,0.67890766188109,-0.0516115011591721,0.204142050416428
"cumulative_dose",-0.139178593274154,-0.0350699331948802,1.21758216117491,1.78243133836463e-144
"cumulative_dose_2",-0.139178593274154,-0.0350699331948802,1.21758216117491,1.78243133836463e-144
