"","results.Control.unstrat","results.Treatment.unstrat","results.std.diff.unstrat","results.p.unstrat"
"female",0.498983836605285,0.499896027702725,0.0472896853892621,0.244599155681663
"below_18",0.219418446872007,0.220704762662263,0.0393340641579991,0.333093119431689
"above_65",0.19503530764905,0.196100660228737,0.0238617135697096,0.557040851173234
"black",0.0661737538067713,0.0654800578406277,-0.00617191101588788,0.879263988111521
"hispanic",0.0864761764558216,0.0841204947002478,-0.0193861807330089,0.633283711827593
"bl_hisp",0.152649930262593,0.149600552540875,-0.0190460852520655,0.639254885587339
"driving_alone_to_work",0.802318937738233,0.805116577959539,0.0521529816197155,0.199438731128423
"smoking",0.172692871316268,0.174014188449215,0.0383250494392193,0.345638667359548
"flu_vac",0.42150289017341,0.418777869529315,-0.0280806197962014,0.489532954185135
"some_college",0.588338798941371,0.584534786497935,-0.0348247385989237,0.391458028826896
"social_association",12.185506482687,12.1125444411131,-0.0127827126053154,0.753064161046885
"traffic",122.707567277211,104.985071334567,-0.0835837441748823,0.0398435773138782
"non_metro",0.61849710982659,0.61849710982659,0,1
"PCTPOVALL_2018",14.318166804294,14.4888521882742,0.0316398459863646,0.436202318256026
"population.density",166.034283157903,136.816967382832,-0.0580581221033485,0.153198646506127
"population",86560.6779521057,85173.2551610239,-0.00670596491297172,0.868907591598121
"cases_1",19.9268137352395,18.274020430346,-0.0403884152696981,0.320302421118932
"cases_2",30.2848589088555,22.9813325933658,-0.0643295843070953,0.11354454267147
"cases_3",29.0105953066846,24.9587471730322,-0.0595263264757722,0.143081267926458
"cases_4",28.8885530416945,25.5328674958663,-0.0456532447209546,0.261299708214124
"cases_5",25.4645592106317,26.2293220802263,0.0106795832983097,0.792672299880669
"cases_6",29.5047336839942,28.3273198411206,-0.0183361207720475,0.651795325623537
"cases_7",27.813127651441,28.75653876082,0.0116887700176347,0.773592458368882
"cases_8",28.9863033662651,29.5421159059496,0.0071532981399374,0.860250106696193
"cases_9",28.7602786015384,30.9508578913088,0.0328364709370852,0.419054888708795
"cases_10",36.290971969014,38.7019609976069,0.0328023514090652,0.419538250361963
"cases_11",47.3347667429727,50.1078261530189,0.0368079495506334,0.365061047085492
"deaths_1",1.12435965472172,1.01390354462097,-0.0330434183322239,0.416130159447214
"deaths_2",1.17106423035095,1.1068520762659,-0.0177603251361422,0.662039006888736
"deaths_3",1.06261677233196,1.0797088718588,0.00549194281157235,0.892479720139374
"deaths_4",1.26376627304294,1.08246649983898,-0.0461391668429545,0.256260302555706
"deaths_5",0.999794089162675,0.978689826804294,-0.00684318234546878,0.866250223886859
"deaths_6",0.925459032613542,0.932269232683732,0.00217136358441662,0.957380097087121
"deaths_7",0.924706509656482,0.969189737417011,0.0140285542980264,0.729897275059076
"deaths_8",0.767253671817506,0.78312679228654,0.00566864109042891,0.889042417515702
"deaths_9",0.626465699150289,0.702228518654005,0.0305589565191341,0.452033633828701
"deaths_10",0.632375781773741,0.624180749698596,-0.00394995929909663,0.922554717980725
"deaths_11",0.806107230960363,0.727296430282411,-0.023159065163993,0.568709907484921
"cumulative_dose",-0.121877815248555,-0.0523707112204789,0.740355690076939,1.83794013943314e-65
"cumulative_dose_2",-0.121877815248555,-0.0523707112204789,0.740355690076939,1.83794013943314e-65
