"X","state","county_name","county.FIPS","date","female","below_18","above_65","median_house_income","population","driving_alone_to_work","smoking","flu_vac","some_college","social_association","traffic","black","hispanic","Rural.urban_Continuum_Code_2013","PCTPOVALL_2018","population.density","distance_one_week_before","distance_two_weeks_before","distance_three_weeks_before","cases_1","cases_2","cases_3","cases_4","cases_5","cases_6","cases_7","cases_8","cases_9","cases_10","cases_11","deaths_1","deaths_2","deaths_3","deaths_4","deaths_5","deaths_6","deaths_7","deaths_8","deaths_9","deaths_10","deaths_11","daily_distance_diff","cases","deaths","cumulative_dose","cumulative_dose_2","death_per_100000","case_per_100000","bl_hisp","non_metro"
3,"AL","Barbour County",1005,"7/1/2020",0.472167517,0.208673285,0.194204413,34382,24686,0.833684704,0.219999845,0.37,0.348576486,7.518796993,102.2917622,0.480326353,0.042763555,6,30.9,27.89756803,-0.257874684,-0.288608487,-0.329630289,48.61054849,52.66142753,40.50879041,64.81406465,97.22109698,113.4246131,243.0527424,101.271976,162.0351616,157.9842826,182.2895568,0,0,4.050879041,0,0,0,0,0,0,0,0,0.117796001,326,1,0.032908132,0.032908132,16.20351616,368.6299927,0.523089908,1
7,"AL","Butler County",1013,"7/1/2020",0.534298781,0.22245935,0.202997968,37365,19448,0.838331832,0.21765335,0.35,0.416787565,9.079445145,19.3110679,0.445579268,0.015091463,6,24.5,25.03507846,-0.27684415,-0.299187179,-0.320348292,30.85150144,102.8383381,411.3533525,421.6371863,457.6306047,380.5018511,293.0892637,210.8185932,447.3467709,174.8251748,138.8317565,0,5.141916907,0,25.70958453,20.56766763,10.28383381,30.85150144,30.85150144,5.141916907,5.141916907,5.141916907,0.216355196,607,27,0.104429305,0.104429305,46.27725216,282.8054299,0.460670731,1
10,"AL","Cherokee County",1019,"7/1/2020",0.504609711,0.191687154,0.229717271,42132,26196,0.831144659,0.174986738,0.41,0.518362101,8.5083343,25.90888704,0.042409342,0.016210818,6,16.3,47.31081813,-0.228880688,-0.240577324,-0.35370798,11.4521301,7.634753397,7.634753397,30.53901359,15.26950679,19.08688349,22.90426019,15.26950679,38.17376699,19.08688349,57.26065048,0,0,0,0,0,7.634753397,3.817376699,3.817376699,3.817376699,3.817376699,3.817376699,0.068347855,77,7,0.014642752,0.014642752,3.817376699,240.494732,0.05862016,1
324,"FL","Madison County",12079,"7/1/2020",0.471153327,0.188461331,0.204975984,38249,18493,0.834521638,0.206866967,0.36,0.425608466,11.92476557,47.52059456,0.372928922,0.056128231,6,22.8,26.57231123,-0.102934895,-0.200969258,-0.299184263,48.66706321,113.5564808,91.92667496,0,16.2223544,27.03725734,0,10.81490294,59.48196615,324.4470881,264.9651219,5.407451468,5.407451468,0,5.407451468,0,0,5.407451468,0,0,0,0,-0.048395297,200,3,-0.029758383,-0.029758383,27.03725734,951.7114584,0.429057153,1
15,"AL","Cleburne County",1029,"7/1/2020",0.504837526,0.227663975,0.194501902,46495,14910,0.81363212,0.183744658,0.34,0.450141643,8.053691275,41.33377646,0.028691533,0.024821512,8,16,26.62024638,-0.161007923,-0.243259382,-0.258710022,0,0,0,6.706908115,0,0,13.41381623,26.82763246,20.12072435,0,53.65526492,6.706908115,0,0,0,0,0,0,0,0,0,0,0.130933703,29,1,0.001900373,0.001900373,0,120.7243461,0.053513045,1
20,"AL","Covington County",1039,"7/1/2020",0.516141243,0.218704375,0.210620235,40203,37049,0.875246448,0.192494515,0.39,0.536105815,12.67119595,42.46334895,0.124425458,0.017493106,6,19.9,35.95384586,-0.252597658,-0.224326108,-0.324941168,29.69041,26.99128182,29.69041,26.99128182,8.097384545,24.29215363,51.28343545,18.89389727,224.0276391,143.0537936,215.9302545,0,2.699128182,0,0,0,0,0,0,0,2.699128182,8.097384545,0.076713193,317,8,0.022740031,0.022740031,43.18605091,421.0639963,0.141918564,1
21,"AL","Crenshaw County",1041,"7/1/2020",0.517216435,0.228587963,0.190176505,39057,13772,0.817299047,0.186469296,0.36,0.449078271,10.09299978,57.6469532,0.232204861,0.023148148,8,19.5,22.62006438,-0.281694397,-0.226464182,-0.36595044,21.78332849,43.56665699,94.39442347,130.699971,72.61109498,50.82776648,130.699971,94.39442347,174.2666279,29.04443799,50.82776648,0,0,0,7.261109498,0,7.261109498,7.261109498,0,0,0,0,0.121453328,127,3,0.052162843,0.052162843,7.261109498,87.13331397,0.255353009,1
2362,"TN","Greene County",47059,"7/1/2020",0.508055061,0.193350413,0.215930638,44366,69069,0.868481219,0.218113802,0.48,0.486271208,10.60923149,82.99285964,0.021161724,0.029889849,4,15.1,111.0130672,-0.184609925,-0.138577163,-0.229390261,11.58262028,8.686965209,2.89565507,4.343482604,0,1.447827535,4.343482604,2.89565507,1.447827535,4.343482604,36.19568837,1.447827535,0,0,0,0,0,0,0,0,0,0,0.064244676,85,2,0.016241486,0.016241486,4.343482604,110.0348926,0.051051573,1
23,"AL","Dale County",1045,"7/1/2020",0.50929406,0.229736907,0.1689272,45309,49172,0.856780167,0.200573949,0.41,0.576495132,10.56352334,41.48575449,0.204510172,0.066386143,4,16.2,87.62719415,-0.286967684,-0.260441541,-0.313057853,18.30309932,8.134710811,18.30309932,22.37045473,32.53884324,48.80826487,79.31343041,26.43781014,89.48181892,48.80826487,67.11136419,0,0,0,0,0,0,0,0,0,0,0,0.003943179,247,0,-0.042315533,-0.042315533,40.67355406,347.7588872,0.270896315,1
25,"AL","DeKalb County",1049,"7/1/2020",0.50370526,0.240778875,0.172613294,39491,71513,0.856637419,0.210282708,0.4,0.45800443,8.517530754,53.00399897,0.014484836,0.148420537,6,21.3,92.02666358,-0.210026797,-0.225900262,-0.317791595,25.17024877,39.1537203,22.37355446,95.08760645,53.13719184,41.95041461,37.75537315,32.16198453,69.91735768,128.6479381,211.1504202,2.796694307,0,0,0,0,1.398347154,0,0,2.796694307,0,0,0.039361589,609,5,0.027523253,0.027523253,12.58512438,618.0694419,0.162905373,1
