"X","state","county_name","county.FIPS","date","female","below_18","above_65","median_house_income","population","driving_alone_to_work","smoking","flu_vac","some_college","social_association","traffic","black","hispanic","Rural.urban_Continuum_Code_2013","PCTPOVALL_2018","population.density","distance_one_week_before","distance_two_weeks_before","distance_three_weeks_before","cases_1","cases_2","cases_3","cases_4","cases_5","cases_6","cases_7","cases_8","cases_9","cases_10","cases_11","deaths_1","deaths_2","deaths_3","deaths_4","deaths_5","deaths_6","deaths_7","deaths_8","deaths_9","deaths_10","deaths_11","daily_distance_diff","cases","deaths","cumulative_dose","cumulative_dose_2","death_per_100000","case_per_100000","bl_hisp","non_metro"
1083,"LA","Claiborne Parish",22027,"7/1/2020",0.433768189,0.180883091,0.191043653,33659,15670,0.865834633,0.2625988,0.32,0.37244898,8.140772747,35.27427066,0.516056197,0.015240843,6,32.7,20.75826621,-0.323635557,-0.296591527,-0.393645422,57.43458839,12.76324186,38.28972559,6.381620932,0,19.1448628,31.90810466,12.76324186,63.81620932,178.6853861,63.81620932,12.76324186,6.381620932,6.381620932,12.76324186,6.381620932,0,0,0,0,0,6.381620932,-0.000494963,120,10,-0.080556127,-0.080556127,0,216.9751117,0.53129704,1
1076,"LA","Bienville Parish",22013,"7/1/2020",0.520513977,0.223624887,0.209272618,34047,13241,0.856956238,0.216123875,0.4,0.431391905,16.13139757,41.53431484,0.414712955,0.019461978,6,26.9,16.32132336,-0.200156278,-0.23989775,-0.262163304,219.0166906,52.86609773,37.76149838,0,52.86609773,407.8241825,67.97069708,52.86609773,158.5982932,188.8074919,151.0459935,52.86609773,30.2091987,0,52.86609773,0,7.552299675,15.10459935,0,7.552299675,15.10459935,0,0.097251089,227,27,-0.023916384,-0.023916384,30.2091987,347.4057851,0.434174933,1
1516,"MO","Perry County",29157,"7/1/2020",0.500417755,0.233420366,0.181305483,53871,19136,0.846179402,0.19178803,0.4,0.564789991,13.52405722,53.37424599,0.006057441,0.024490862,6,10.9,40.34151997,-0.23973664,-0.192856657,-0.314679918,10.45150502,15.67725753,10.45150502,10.45150502,10.45150502,10.45150502,62.7090301,52.25752508,73.16053512,99.28929766,156.7725753,0,0,0,0,0,0,0,0,0,0,0,0.028953312,146,0,-0.066492234,-0.066492234,20.90301003,198.5785953,0.030548303,1
13,"AL","Clarke County",1025,"7/1/2020",0.526421405,0.217182274,0.198704013,40741,23622,0.882852969,0.205796553,0.28,0.382299601,16.19399577,66.28763227,0.443269231,0.013628763,7,22.8,19.07353428,-0.287640651,-0.278633077,-0.340303469,21.166709,12.7000254,67.7334688,84.666836,50.8001016,143.9336212,160.8669884,50.8001016,139.7002794,110.0668868,186.2670392,4.2333418,0,0,0,4.2333418,0,0,4.2333418,0,8.4666836,0,-0.010562161,267,5,-0.076935228,-0.076935228,16.9333672,262.4671916,0.456897994,1
124,"AR","Logan County",5083,"7/1/2020",0.500759074,0.216727239,0.198509454,41471,21466,0.807359813,0.203994562,0.33,0.487828627,12.89015744,54.18805017,0.014123384,0.031053043,6,18.6,30.31364298,-0.281997015,-0.258808273,-0.312361209,4.658529768,0,0,4.658529768,4.658529768,0,13.9755893,27.95117861,32.60970838,55.90235722,60.56088698,0,0,0,0,0,0,0,0,0,0,0,-0.003155341,46,0,-0.093365735,-0.093365735,4.658529768,195.6582503,0.045176427,1
1075,"LA","Beauregard Parish",22011,"7/1/2020",0.492980431,0.246100985,0.157598046,57005,37497,0.827045566,0.207215381,0.42,0.530787135,13.81065858,71.93825376,0.120151397,0.038171422,6,15.4,32.39929493,-0.268171764,-0.30060714,-0.376704564,21.33504014,0,18.66816012,8.000640051,16.0012801,16.0012801,29.33568019,98.67456063,80.00640051,61.33824039,90.67392058,2.666880017,2.666880017,0,2.666880017,0,0,0,0,5.333760034,2.666880017,2.666880017,0.003281943,214,8,-0.088027141,-0.088027141,24.00192015,464.037123,0.158322819,1
1420,"MS","Smith County",28129,"7/1/2020",0.519497563,0.230783652,0.196100487,46764,15916,0.865993789,0.182393117,0.46,0.497185741,9.951486503,6.545044909,0.236345457,0.016935383,8,16.8,25.01532417,-0.247963186,-0.226895786,-0.367623994,119.3767278,113.0937421,100.5277708,144.5086705,69.11284242,100.5277708,131.9426992,100.5277708,75.3958281,43.98089972,106.8107565,6.282985675,12.56597135,0,12.56597135,6.282985675,18.84895702,6.282985675,0,0,0,0,-0.02062788,206,11,-0.061811223,-0.061811223,12.56597135,326.7152551,0.25328084,1
22,"AL","Cullman County",1043,"7/1/2020",0.505704561,0.224790873,0.185110616,45796,83768,0.875688747,0.179010712,0.41,0.5037849,11.72134614,51.37029012,0.012056279,0.044330193,4,14.5,113.9948832,-0.229920249,-0.241470775,-0.299046404,5.968866393,9.550186229,7.162639671,8.35641295,4.775093114,10.74395951,85.95167606,64.46375704,91.92054245,38.20074491,106.2458218,0,0,0,0,0,0,1.193773279,0,0,0,2.387546557,0.019040149,411,3,-0.015297406,-0.015297406,9.550186229,329.4814249,0.056386472,1
1362,"MS","Bolivar County",28011,"7/1/2020",0.535409951,0.242906839,0.158012319,33116,30628,0.83427762,0.247468144,0.41,0.592922514,15.02582564,94.39912487,0.635719529,0.021925765,7,29.4,34.94073491,-0.33121649,-0.326410335,-0.42028246,55.50476688,52.23978059,29.38487658,26.1198903,35.91484916,39.17983544,78.35967089,35.91484916,58.76975317,45.70980802,150.1893692,9.794958861,3.264986287,0,6.529972574,3.264986287,3.264986287,0,0,3.264986287,3.264986287,0,0.044081978,277,13,-0.118453638,-0.118453638,62.03473945,528.9277785,0.657645294,1
1892,"NC","Richmond County",37153,"7/1/2020",0.510103148,0.228685366,0.179472899,38514,44829,0.865749608,0.206734123,0.43,0.496187465,14.06312782,109.0637712,0.313052777,0.066990443,5,19.9,94.61187793,-0.258276778,-0.231660743,-0.307838887,22.30698878,35.69118205,49.07537532,73.61306297,53.53677307,69.15166522,42.38327868,42.38327868,60.2288697,51.30607419,93.68935287,2.230698878,0,0,0,0,0,2.230698878,0,4.461397756,0,0,-0.07030401,290,7,-0.019072948,-0.019072948,6.692096634,216.3777912,0.38004322,1
